PostcodeID;PostCodePK;PostCode;PostcodeNummers;PostcodeLetters;Straat;MinNummer;MaxNummer;Plaats;Gemeente;Provincie
5043;1715ZJ_0;1715ZJ;1715;ZJ;Postbus;0;10000;Spanbroek;Opmeer;Noord-Holland
5044;3814WP_1;3814WP;3814;WP;Leif Eriksonstraat;1;31;Amersfoort;Amersfoort;Utrecht
5045;9051BT_2;9051BT;9051;BT;St. Vitusplein;2;69;Stiens;Leeuwarderadeel;Friesland
5046;5653NX_1;5653NX;5653;NX;Wickenburg;1;44;Eindhoven;Eindhoven;Noord-Brabant
5047;5042HJ_2;5042HJ;5042;HJ;Petrus Canisiusstraat;2;70;Tilburg;Tilburg;Noord-Brabant
5048;2587EE_159;2587EE;2587;EE;Stevinstraat;159;185;'s-Gravenhage;'s-Gravenhage;Zuid-Holland
5049;3763LM_2;3763LM;3763;LM;Vaardehoogtweg;2;8;Soest;Soest;Utrecht
5050;9751GK_57;9751GK;9751;GK;Nieuwlandsweg;57;77;Haren Gn;Haren;Groningen
5051;5106RJ_1;5106RJ;5106;RJ;Ruiterbaan;1;11;Dongen;Dongen;Noord-Brabant
5052;4706MH_1;4706MH;4706;MH;Porfierdijk;1;35;Roosendaal;Roosendaal;Noord-Brabant
5053;7271AJ_1;7271AJ;7271;AJ;Weverstraat;1;33;Borculo;Berkelland;Gelderland
5054;5611SN_6;5611SN;5611;SN;St Rochushofje;6;65;Eindhoven;Eindhoven;Noord-Brabant
5055;2132KT_27;2132KT;2132;KT;Jacob Obrechtlaan;27;61;Hoofddorp;Haarlemmermeer;Noord-Holland
5056;4115RW_1;4115RW;4115;RW;Dwarsstraat;1;13;Asch;Buren;Gelderland
5057;4153VK_2;4153VK;4153;VK;Wethouder Klerkstraat;2;48;Beesd;Geldermalsen;Gelderland
5058;9974NG_1;9974NG;9974;NG;De Snik;1;43;Zoutkamp;De Marne;Groningen
5059;8081CD_1;8081CD;8081;CD;Zuiderwalstraat;1;20;Elburg;Elburg;Gelderland
5060;5301SV_41;5301SV;5301;SV;Rembrandtstraat;41;63;Zaltbommel;Zaltbommel;Gelderland
5061;5321RV_1;5321RV;5321;RV;Dokter de Ridderhof;1;47;Hedel;Maasdriel;Gelderland
5062;3770AC_0;3770AC;3770;AC;Postbus;0;10000;Barneveld;Barneveld;Gelderland
5063;6214DA_49;6214DA;6214;DA;Sint Annalaan;49;63;Maastricht;Maastricht;Limburg
5064;1511WN_88;1511WN;1511;WN;Rietschoot;88;132;Oostzaan;Oostzaan;Noord-Holland
5065;7595CD_3;7595CD;7595;CD;Reestmanlaan;3;27;Weerselo;Dinkelland;Overijssel
5066;6463AZ_1;6463AZ;6463;AZ;van Ederenstraat;1;20;Kerkrade;Kerkrade;Limburg
5067;4645EE_1;4645EE;4645;EE;Molenstraat;1;1;Putte;Woensdrecht;Noord-Brabant
5068;6535NZ_628;6535NZ;6535;NZ;Malderburchtstraat;628;656;Nijmegen;Nijmegen;Gelderland
5069;5161EB_45;5161EB;5161;EB;Kerkstraat;45;95;Sprang-Capelle;Waalwijk;Noord-Brabant
5070;7570AC_0;7570AC;7570;AC;Postbus;0;10000;Oldenzaal;Oldenzaal;Overijssel
5071;1333GV_110;1333GV;1333;GV;Wipmolenweg;110;128;Almere;Almere;Flevoland
5072;7608HH_2;7608HH;7608;HH;Hemmemastate;2;14;Almelo;Almelo;Overijssel
5073;3271XD_2;3271XD;3271;XD;Rietgors;2;20;Mijnsheerenland;Binnenmaas;Zuid-Holland
5074;6881NK_340;6881NK;6881;NK;Arnhemsestraatweg;340;538;Velp;Rheden;Gelderland
5075;3755VC_2;3755VC;3755;VC;Aartseveen;2;36;Eemnes;Eemnes;Utrecht
5076;7678AT_1;7678AT;7678;AT;Dorpsstraat;1;33;Geesteren;Tubbergen;Overijssel
5077;5709DA_2;5709DA;5709;DA;Hollandhof;2;58;Helmond;Helmond;Noord-Brabant
5078;7827KE_1;7827KE;7827;KE;Poelsnip;1;18;Emmen;Emmen;Drenthe
5079;2651BM_5;2651BM;2651;BM;Rodenrijseweg;5;49;Berkel en Rodenrijs;Lansingerland;Zuid-Holland
5080;2231AG_84;2231AG;2231;AG;Rijnsburgerweg;84;132;Rijnsburg;Katwijk;Zuid-Holland
5081;5628KN_1;5628KN;5628;KN;Schoklandstraat;1;20;Eindhoven;Eindhoven;Noord-Brabant
5082;1025PL_1;1025PL;1025;PL;Walcherenstraat;1;29;Amsterdam;Amsterdam;Noord-Holland
5083;6005RR_2;6005RR;6005;RR;Bisschop Moorsstraat;2;24;Weert;Weert;Limburg
5084;4381CM_1;4381CM;4381;CM;Lombardstraat;1;3;Vlissingen;Vlissingen;Zeeland
5085;3526JK_800;3526JK;3526;JK;Livingstonelaan;800;838;Utrecht;Utrecht;Utrecht
5086;7547AL_1;7547AL;7547;AL;Sesamstraat;1;5;Enschede;Enschede;Overijssel
5087;5622EJ_2;5622EJ;5622;EJ;Hans Steenwinkelstraat;2;32;Eindhoven;Eindhoven;Noord-Brabant
5088;6137XC_21;6137XC;6137;XC;Van Goghstraat;21;27;Sittard;Sittard-Geleen;Limburg
5089;2411WG_1;2411WG;2411;WG;Kopeind;1;8;Bodegraven;Bodegraven-Reeuwijk;Zuid-Holland
5090;1063ND_1;1063ND;1063;ND;Paul Scholtenstraat;1;49;Amsterdam;Amsterdam;Noord-Holland
5091;1405BD_43;1405BD;1405;BD;Meerweg;43;65;Bussum;Bussum;Noord-Holland
5092;5000JL_0;5000JL;5000;JL;Postbus;0;10000;Tilburg;Tilburg;Noord-Brabant
5093;1795LV_182;1795LV;1795;LV;Krimweg;182;220;De Cocksdorp;Texel;Noord-Holland
5094;3723BM_1;3723BM;3723;BM;Rubenslaan;1;1;Bilthoven;De Bilt;Utrecht
5095;6961KP_1;6961KP;6961;KP;Horsterdijk;1;37;Eerbeek;Brummen;Gelderland
5096;6164AW_160;6164AW;6164;AW;Jos Klijnenlaan;160;206;Geleen;Sittard-Geleen;Limburg
5097;5853EP_79;5853EP;5853;EP;Nieuweweg;79;83;Siebengewald;Bergen (L.);Limburg
5098;2572BJ_98;2572BJ;2572;BJ;Beijersstraat;98;148;'s-Gravenhage;'s-Gravenhage;Zuid-Holland
5099;6602EZ_2;6602EZ;6602;EZ;Olmenhof;2;28;Wijchen;Wijchen;Gelderland
5100;7731BN_1;7731BN;7731;BN;Doormanstraat;1;39;Ommen;Ommen;Overijssel
5101;5502JS_41;5502JS;5502;JS;Blaarthemseweg;41;65;Veldhoven;Veldhoven;Noord-Brabant
5102;6042VV_42;6042VV;6042;VV;Schout Roffaertstraat;42;64;Roermond;Roermond;Limburg
5103;7524DL_4;7524DL;7524;DL;Stegenkampweg;4;86;Enschede;Enschede;Overijssel
5104;3085BN_1;3085BN;3085;BN;Sandeveld;1;79;Rotterdam;Rotterdam;Zuid-Holland
5105;7121LH_1;7121LH;7121;LH;Stationsweg;1;8;Aalten;Aalten;Gelderland
5106;1078CC_45;1078CC;1078;CC;IJselstraat;45;57;Amsterdam;Amsterdam;Noord-Holland
5107;7512CM_164;7512CM;7512;CM;Kuipersdijk;164;202;Enschede;Enschede;Overijssel
5108;5421RJ_3;5421RJ;5421;RJ;Gorterstraat;3;18;Gemert;Gemert-Bakel;Noord-Brabant
5109;6813CD_1;6813CD;6813;CD;De Dorpsbrink;1;6;Arnhem;Arnhem;Gelderland
5110;6002TE_2;6002TE;6002;TE;Edelweishof;2;6;Weert;Weert;Limburg
5111;1619AL_1;1619AL;1619;AL;Schoolweg;1;9;Andijk;Medemblik;Noord-Holland
5112;5995SH_1;5995SH;5995;SH;Roland;1;8;Kessel;Peel en Maas;Limburg
5113;3984KE_2;3984KE;3984;KE;Joffer Juttenstraat;2;16;Odijk;Bunnik;Utrecht
5114;1971BR_1;1971BR;1971;BR;Velserduinplein;1;7;IJmuiden;Velsen;Noord-Holland
5115;7009MD_1;7009MD;7009;MD;Sionstraat;1;8;Doetinchem;Doetinchem;Gelderland
5116;6417TM_1;6417TM;6417;TM;Horatiusstraat;1;23;Heerlen;Heerlen;Limburg
5117;2377DW_3;2377DW;2377;DW;Pijlkruid;3;35;Oude Wetering;Kaag en Braassem;Zuid-Holland
5118;4872SK_1;4872SK;4872;SK;Kolgans;1;53;Etten-Leur;Etten-Leur;Noord-Brabant
5119;3352AE_100;3352AE;3352;AE;Beukmolen;100;146;Papendrecht;Papendrecht;Zuid-Holland
5120;8713KR_1;8713KR;8713;KR;Vermaningsteeg;1;7;Hindeloopen;S+¦dwest-Frysl+ón;Friesland
5121;7572AR_2;7572AR;7572;AR;Papaverstraat;2;44;Oldenzaal;Oldenzaal;Overijssel
5122;1781DH_247;1781DH;1781;DH;Ruyghweg;247;285;Den Helder;Den Helder;Noord-Holland
5123;2986SH_1;2986SH;2986;SH;Steur;1;49;Ridderkerk;Ridderkerk;Zuid-Holland
5124;4380AL_0;4380AL;4380;AL;Postbus;0;10000;Vlissingen;Vlissingen;Zeeland
5125;9646CA_2;9646CA;9646;CA;Goudsmedenstraat;2;32;Veendam;Veendam;Groningen
5126;3452CK_59;3452CK;3452;CK;Veldbloemlaan;59;101;Vleuten;Utrecht;Utrecht
5127;7213EP_32;7213EP;7213;EP;Elfuursweg;32;36;Gorssel;Lochem;Gelderland
5128;5146BD_13;5146BD;5146;BD;Cal+¿che;13;39;Waalwijk;Waalwijk;Noord-Brabant
5129;6021HJ_1;6021HJ;6021;HJ;Rasplein;1;2;Budel;Cranendonck;Noord-Brabant
5130;2321VL_1;2321VL;2321;VL;Albert Verweijstraat;1;31;Leiden;Leiden;Zuid-Holland
5131;8245HC_12;8245HC;8245;HC;Parnassialaan;12;82;Lelystad;Lelystad;Flevoland
5132;1825MH_1;1825MH;1825;MH;Koevoetstraat;1;27;Alkmaar;Alkmaar;Noord-Holland
5133;2012TL_44;2012TL;2012;TL;Crayenesterlaan;44;142;Haarlem;Haarlem;Noord-Holland
5134;5021TX_110;5021TX;5021;TX;Oerlesestraat;110;138;Tilburg;Tilburg;Noord-Brabant
5135;3211AJ_5;3211AJ;3211;AJ;Egmondplein;5;14;Geervliet;Bernisse;Zuid-Holland
